run_id,saddle_error_mean,saddle_error_stdv,minima_error_mean,minima_error_stdv,bias_count_mean,bias_count_stdv,energy_calls_mean,energy_calls_stdv,force_calls_mean,force_calls_stdv,bias_std_dev_scale,bias_covariance,bias_height_fraction,bias_height,perturbation_size,optimizer
143,0.14586421288750975,0.08729611157655791,0.0,0.0,767.0,87.69644614616186,"[13.0, 4018.0, 32793.333333333336]","[0.0, 1833.7340774132617, 5068.391088128679]","[13.0, 4018.0, 32793.333333333336]","[0.0, 1833.7340774132617, 5068.391088128679]",0.1,0.003025,0.0333333333333333,1.2666666666666666,0.0001,Scipy
144,0.7987553860425248,0.043796161810369404,0.4018816436313346,0.4018816436313347,1787.3333333333333,2.494438257849294,"[104.0, 39128.333333333336, 243432.33333333334]","[0.0, 781.0609593509473, 1283.6178905300785]","[104.0, 39128.333333333336, 243432.33333333334]","[0.0, 781.0609593509473, 1283.6178905300785]",0.1,0.003025,0.02,0.76,0.1,FIRE
145,0.5105287404756959,0.22390649041040428,0.4018816413251694,0.4018816413251694,255.0,99.079092984679,"[13.0, 11278.0, 12841.333333333334]","[0.0, 4075.3950319774726, 4457.548828174017]","[13.0, 11278.0, 12841.333333333334]","[0.0, 4075.3950319774726, 4457.548828174017]",0.1,0.003025,0.02,0.76,0.1,Scipy
146,0.038335370406398124,0.02240983913667551,0.40188164642448804,0.40188164642448804,1879.6666666666667,16.81930108205715,"[104.0, 41797.333333333336, 264174.0]","[0.0, 1414.8239780583622, 1898.6726942788216]","[104.0, 41797.333333333336, 264174.0]","[0.0, 1414.8239780583622, 1898.6726942788216]",0.1,0.003025,0.02,0.76,0.01,FIRE
147,0.11681983220951814,0.036490647391074625,0.4018816413251694,0.4018816413251694,287.6666666666667,10.338708279513881,"[13.0, 12319.333333333334, 12547.666666666666]","[0.0, 502.9912744990933, 511.1466412771279]","[13.0, 12319.333333333334, 12547.666666666666]","[0.0, 502.9912744990933, 511.1466412771279]",0.1,0.003025,0.02,0.76,0.01,Scipy
148,0.031576386907471804,0.01776298134287277,0.4018816413251694,0.4018816413251694,1794.0,88.36288813749809,"[104.0, 39374.333333333336, 258198.33333333334]","[0.0, 562.4128574474646, 12936.656866783198]","[104.0, 39374.333333333336, 258198.33333333334]","[0.0, 562.4128574474646, 12936.656866783198]",0.1,0.003025,0.02,0.76,0.001,FIRE
149,0.1700557408165667,0.12006335473620579,0.13396054801797838,0.2995448916713244,846.3333333333334,317.5335502833607,"[13.0, 6933.333333333333, 32652.0]","[0.0, 5556.853866072859, 10979.090338760614]","[13.0, 6933.333333333333, 32652.0]","[0.0, 5556.853866072859, 10979.090338760614]",0.1,0.003025,0.02,0.76,0.001,Scipy
150,0.028761035599071793,0.01739917286870345,0.4018816482436651,0.4018816482436651,1819.3333333333333,50.690783733885546,"[104.0, 38964.333333333336, 271262.3333333333]","[0.0, 915.3539691774373, 6242.833242117627]","[104.0, 38964.333333333336, 271262.3333333333]","[0.0, 915.3539691774373, 6242.833242117627]",0.1,0.003025,0.02,0.76,0.0001,FIRE
151,0.1649526577846808,0.10287041013050494,0.4018816413251694,0.4018816413251694,358.0,57.27710420985567,"[13.0, 13168.333333333334, 16814.333333333332]","[0.0, 1422.4451561386197, 2575.4821339357454]","[13.0, 13168.333333333334, 16814.333333333332]","[0.0, 1422.4451561386197, 2575.4821339357454]",0.1,0.003025,0.02,0.76,0.0001,Scipy
152,0.6849519446867585,0.04602823384565957,0.40188164593749987,0.4018816459374999,2000.0,0.0,"[104.0, 87899.33333333333]","[0.0, 1546.3234532988959]","[104.0, 87899.33333333333]","[0.0, 1546.3234532988959]",0.1,0.003025,0.01,0.38,0.1,FIRE
